club,last_name,first_name,position,base_salary,guaranteed_compensation
New York Red Bulls,Touray,Sainey,F,12900.0,12900.0
Sporting Kansas City,Trujillo,Ivan,F,70000.0,70000.0
LA Galaxy,Tudela,Josh,M,17700.0,17700.0
New England Revolution,Twellman,Taylor,F,325008.0,350008.0
New England Revolution,Tyler,Brandon,D,12900.0,12900.0
New York Red Bulls,Ubiparipovic,Sinisa,M,33000.0,33000.0
Houston Dynamo,Ustruck,Erik,M,12900.0,12900.0
LA Galaxy,Vagenas,Peter,M,144000.0,144000.0
LA Galaxy,Valentin,Julian,D,12900.0,12900.0
New England Revolution,Valentino,Rob,D,36000.0,53500.0
New York Red Bulls,Van Den Bergh,Dave,M,240000.0,274583.33
LA Galaxy,Vanney,Greg,D,91800.0,91800.0
CHV,Vaughn,Lawson,D,33000.0,33000.0
Toronto FC,Velez,Marco,D,60000.0,60500.0
CHV,Victorine,Sasha,M,151250.0,153750.0
DC United,Vide,Joe,M,17700.0,19128.57
FC Dallas,Wadsworth,Spencer,M,12900.0,12900.0
FC Dallas,Wagenfuhr,David,D,44500.0,45250.0
FC Dallas,Wagner,Blake,D,36300.0,48800.0
Sporting Kansas City,Wahl,Tyson,D,33000.0,33000.0
Houston Dynamo,Waibel,Craig,D,70008.0,70008.0
FC Dallas,Wallace,Anthony,M,70000.0,103000.0
Houston Dynamo,Waller,Corbin,GK,12900.0,12900.0
Colorado Rapids,Ward,Tim,D,44620.0,54620.0
New England Revolution,Warren,Doug,GK,52500.0,52500.0
Chicago Fire,Washington,Austin,D,12900.0,12900.0
FC Dallas,Watson,Jaime,F,17700.0,17700.0
Sporting Kansas City,Watson,Lance,M,17700.0,17700.0
DC United,Wells,Zachary,GK,52920.0,52920.0
LA Galaxy,Wicks,Josh,GK,38000.0,38000.0
CHV,Wicky,Raphael,M,149583.29,159583.29
FC Dallas,Wileman,Chase,M,17700.0,17700.0
Real Salt Lake,Williams,Andy,M,80000.0,80000.0
Real Salt Lake,Wingert,Chris,D,65000.0,65000.0
Sporting Kansas City,Wolff,Josh,F,200004.0,200004.0
New York Red Bulls,Wolyniec,John,F,68906.25,68906.25
Houston Dynamo,Wondolowski,Chris,M,33000.0,33000.0
Houston Dynamo,Wondolowski,Stephen,D,12900.0,12900.0
Chicago Fire,Woolard,Daniel,D,17700.0,17700.0
Toronto FC,Wynne,Marvell,D,47500.0,150000.0
DC United,Zaher,Mike,D,12900.0,12900.0
Colorado Rapids,Zambrano,Cesar,M,12900.0,12900.0
Sporting Kansas City,Zavagnin,Kerry,M,169400.0,169400.0
Columbus Crew,Zayner,Jed,D,36300.0,43800.0
CHV,Zotinca,Alex,D,70875.0,72125.0
